No,Tanah Humus,Aluvial,Vulkanik,Gambut,Liat,Kapur,Litosol,Organosol,Regosol,Pasir,Laterit
1,Bayam,Bawang merah,Bawang Bombay,Bungur,Aster,Apel,Cabai,Bayam,Alpukat,Bawang Merah,Aglonema
2,Cabai,Bawang Putih,Bawang Merah,Cabai,Bunga Bakung,Dril,Cokelat,Daun Bawang,"Anggur ",Bawang Putih,Cengkeh
3,Daun Bawang,Cabai,Bawang Putih,Jagung,Bunga Lili,Granado,Jambu Mete,Jagung,Apel,Bit,Cokelat
4,Jagung,Dahlia,Bengkuang,Kacang Tanah,Coneflower,Grapefruit,Karet,Jagung,Apel,Buah Naga,Durian
5,Jahe,Jagung,Cabai,Kedelai,Cup Plant,Jagung,Kelapa,Jahe,Bougenville,Bunga Katang,Jambu
6,"Jeruk  ",Jahe,Karet,Kelapa Sawit,Daylily,Jambu Mete,Kentang,"Jeruk  ","Cabai ",Bunga Mahkota Duri,Kacang Panjang
7,Jeruk Nipis,Jeruk Nipis,Kelapa,Melon,Geranium,Jati,Ketela,Kacang Panjang,Ceri,Cabai,Karet
8,Kacang Panjang,Kelapa,Kentang,Mentimun,Goldenrod,Jeruk,Kopi,Karet,Delima,Kacang Panjang,Keladi
9,Kangkung,Kunyit,Ketela,Meranti Rawa,Hosta,Jujube,Kubis,Kedelai,Jagung,Kaktus,Kelapa
10,Kelapa,Mangga,Kopi,Nanas,Ironweed,Kedelai,Lobak,Kelapa,Jambu Biji,Kelapa,Kelapa Sawit
11,Kunyit,Mawar,Kubis,Pare,Kayu Putih,Kentang,Mentimun,Kunyit,Jeruk,Kentang,Kelengkeng
12,Mangga,Melati,Lobak,Pepaya,Kentang,Lemon,Padi,Mawar,Kedelai,Kurma,Kopi
13,Melon,Melon,Padi,Pisang,Mawar,Mentimun,Rumput Tanah,Nanas,Mangga,Lidah Buaya,Labu Siam
14,Nanas,Padi,Sawi,Pohon Kempas,Pakis,Oyong,Sawi,Padi,Mentimun,Lidah Mertua,"Mentimun "
15,Padi,Sayur kol,Singkong,Pohon Rengas,Rumput Bunga Matahari,Pir,Singkong,Sawi Hijau,Nanas,Lobak,Padi
16,Sawi,Serai,Talas,Pohon Terentang,Sage Russia,Pisang,Talas,Sawi Putih,Palem,Pakis,Singkong
17,Selada,Tebu,Tembakau,Tanaman Punak,Stroberi,Prem Higuera,Tebu,Singkong,Pir,Peperomia Hijau,Sorgum
18,Tebu,Tembakau,Terong,Singkong,Switchgrass,Singkong,Terong,Tembakau,Tembakau,Singkong,Talas
19,Timun,Tomat,Ubi Jalar,Tomat,Tanaman Lilac,Ubi Jalar,Ubi Jalar,Timun,Terong,Tanaman Giok,Tebu
20,Tomat,Wortel,Wortel,Ubi Jalar,Teki Tahunan,Wortel,Wortel,Ubi Jalar,Tomat,Wortel,Wortel
